,URL,Date,Engagements,Impressions
0,a,2024-03-12,0,1655
1,b,2024-06-10,20,0
2,c,2024-06-12,15,0
3,d,2024-08-12,22,2115
4,e,2024-09-11,41,3642
5,f,2024-10-15,112,22824
6,g,2024-10-20,17,0
7,h,2024-10-28,17,2020
8,i,2024-10-30,34,4340
9,j,2024-11-10,106,15884
10,k,2024-11-13,15,3057
11,l,2024-11-17,35,7455
12,m,2025-01-01,21,0
13,n,2025-01-02,42,3792
14,o,2025-01-04,54,12910
15,p,2025-01-04,17,2020
16,q,2025-01-15,22,0
17,r,2025-01-22,17,0
18,s,2025-02-05,102,4885
19,t,2025-03-01,23,1751
20,u,2025-03-02,17,0
21,v,2025-03-04,17,4846
22,w,2025-03-06,1637,349175
23,x,2025-03-26,19,2168
24,y,2025-03-28,20,7411
25,z,2025-03-28,1297,475521
26,aa,2025-03-30,23,5500
27,ab,2025-03-30,0,3107
28,ac,2025-04-04,17,3333
29,ad,2025-04-14,0,1756
30,ae,2025-04-15,122,30355
31,af,2025-04-15,0,2650
32,ag,2025-04-17,0,4328
33,ah,2025-04-20,23,2444
34,ai,2025-04-20,17,5329
35,aj,2025-04-24,39,9208
36,ak,2025-04-24,0,6852
37,al,2025-04-26,28,6200
38,am,2025-04-26,0,2362
39,an,2025-04-28,0,3244
40,ao,2025-05-05,33,0
41,ap,2025-05-06,25,4872
42,aq,2025-05-14,0,4479
43,ar,2025-05-15,0,1785
44,as,2025-05-16,67,1784
45,at,2025-05-20,17,6097
46,au,2025-05-22,88,60190
47,av,2025-05-26,16,3551
48,aw,2025-05-28,39,2780
49,ax,2025-05-29,18,2929
50,ay,2025-05-30,0,6265
51,az,2025-06-01,17,0
52,ba,2025-06-03,189,78934
53,bb,2025-06-15,0,3390
54,bc,2025-06-15,22,0
55,bd,2025-06-17,60,2931
56,be,2025-06-19,205,33524
57,bf,2025-06-19,24,2869
58,bg,2025-07-04,27,6762
59,bh,2025-07-04,17,0
60,bi,2025-07-05,19,0
61,bj,2025-09-04,0,2301
62,bk,2025-11-04,16,0
