Date,Impressions,Engagements
01/10/2024,2,0
01/11/2024,287,1
01/12/2024,325,9
02/11/2024,498,9
02/12/2024,466,5
03/09/2024,27,0
03/11/2024,530,2
03/12/2024,964,4
04/09/2024,2,0
04/11/2024,1027,15
04/12/2024,678,5
05/09/2024,24,0
05/11/2024,2234,9
05/12/2024,1183,11
06/10/2024,629,10
06/11/2024,232,1
06/12/2024,1339,19
07/10/2024,255,5
07/11/2024,321,5
07/12/2024,607,13
07/23/2024,3,0
07/25/2024,1,0
07/27/2024,2,0
07/29/2024,1,0
08/08/2024,1,0
08/09/2024,13,0
08/10/2024,63,2
08/11/2024,137,2
08/12/2024,583,5
08/13/2024,1,0
08/15/2024,1,0
08/16/2024,2,0
08/19/2024,1,0
08/21/2024,3,0
08/24/2024,1,0
08/25/2024,1,0
08/28/2024,1,0
08/29/2024,3,0
08/30/2024,1,0
09/10/2024,246,1
09/11/2024,1703,28
09/12/2024,1970,40
09/14/2024,1,0
09/19/2024,20,0
09/20/2024,39,0
09/21/2024,1,0
09/22/2024,3,0
09/25/2024,1,0
10/10/2024,118,0
10/11/2024,683,5
10/12/2024,862,9
10/13/2024,3751,33
10/14/2024,2580,14
10/15/2024,4183,44
10/16/2024,6832,30
10/17/2024,5353,31
10/18/2024,4608,18
10/19/2024,2568,14
10/20/2024,2852,20
10/21/2024,3221,12
10/22/2024,1969,12
10/23/2024,246,1
10/24/2024,558,4
10/25/2024,579,0
10/26/2024,282,0
10/27/2024,204,2
10/28/2024,1368,12
10/29/2024,508,1
10/30/2024,749,15
10/31/2024,251,1
11/08/2024,1,0
11/10/2024,770,5
11/11/2024,1057,15
11/12/2024,270,4
11/13/2024,2083,11
11/14/2024,783,2
11/15/2024,427,2
11/16/2024,252,4
11/17/2024,1110,15
11/18/2024,3596,9
11/19/2024,1457,10
11/20/2024,1007,5
11/21/2024,895,4
11/22/2024,640,8
11/23/2024,461,3
11/24/2024,583,9
11/25/2024,457,4
11/26/2024,142,7
11/27/2024,1024,10
11/28/2024,389,2
11/29/2024,243,1
11/30/2024,260,2
12/08/2024,1,0
12/09/2024,1,0
12/10/2024,1202,12
12/11/2024,601,1
12/12/2024,116,1
12/13/2024,341,2
12/14/2024,362,7
12/15/2024,233,5
12/16/2024,261,4
12/17/2024,336,9
12/18/2024,330,1
12/19/2024,217,0
12/20/2024,160,0
12/21/2024,286,0
12/22/2024,141,1
12/23/2024,465,4
12/24/2024,577,5
12/25/2024,273,5
12/26/2024,121,2
12/27/2024,187,4
12/28/2024,107,2
12/29/2024,75,2
12/30/2024,152,2
12/31/2024,210,2
01/01/2025,420,7
01/02/2025,2335,27
01/03/2025,80,0
01/04/2025,119200,324
01/05/2025,2902,9
01/06/2025,784,4
01/07/2025,679,3
01/13/2025,490,8
01/14/2025,209,3
01/15/2025,422,11
01/16/2025,186,3
01/17/2025,79,2
01/18/2025,78,2
01/19/2025,60,1
01/20/2025,267,4
01/21/2025,165,2
01/22/2025,302,4
01/23/2025,132,6
01/24/2025,244,1
01/25/2025,394,3
01/26/2025,126,1
01/27/2025,232,5
01/28/2025,162,6
01/29/2025,192,6
01/30/2025,124,0
